id,titulo,titulos_alternativos,ano_lancamento
343,Tsukuyomi: Moon Phase,"['Tsukuyomi: Moon Phase', '月詠 −MOON PHASE−']",2004.0
344,Twin Spica,"['Futatsu no Spica', 'Twin Spica', 'ふたつのスピカ']",2003.0
345,Emma: A Victorian Romance,"['Eikoku Koi Monogatari Emma', '英國戀物語エマ', 'Emma: A Victorian Romance', 'Emma: Un Romance Victoriano']",2005.0
347,Wild Arms,"['Wild Arms', 'ワイルドアームズ トワイライトヴェノム', 'Wild Arms: Twilight Venom']",1999.0
348,Bottle Fairy,"['Binzume Yousei', 'Binzume Yousei: Bottle Fairy', '瓶詰妖精', 'Bottle Fairy']",2003.0
350,Magical DoReMi,"['Ojamajo Doremi', 'Useless Witchgirl Doremi', 'Magical DoReMi', 'おジャ魔女どれみ']",1999.0
354,Ultimate Girls,"['UG☆Ultimate Girls', 'Ultra Girl', 'Ultimate Girls', 'UG☆アルティメットガール', 'UG*Ultimate Girls', 'UG Ultimate Girls']",2005.0
356,Fate/stay night,"['Fate - Stay Night', 'Fate/stay night']",2006.0
360,Legend of Himiko,"['Legend of Himiko', 'Himikoden', 'Himiko-den', '火魅子伝']",1999.0
364,Gallery Fake,"['Gallery Fake', 'ギャラリーフェイク']",2005.0
